created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 12:49:10 +0000 2023;1724771523280458103;"@PackedLunchC4 I don't mind people standing up at concerts.  It's drunk people I can't stand. They have ruined Coldplay and Sam Fender for me this year. Why do people have to get hammered at gigs!";0;0;0;1;en;383689151;1724771523280458103;DCarding;https://twitter.com/DCarding/status/1724771523280458103
Wed Nov 15 12:49:09 +0000 2023;1724771519279354056;"I nak tiket coldplay concert laaa";0;1;0;0;en;1513897888945868809;1724771519279354056;m0ik0;https://twitter.com/m0ik0/status/1724771519279354056
Wed Nov 15 12:40:14 +0000 2023;1724769275460940053;"one of MJ followers on ig posted on her instastory and tagged us, she is attending Coldplay concert in Jakarta and taking picture in front on stadium while holding Jin’s banner 😭🙏🏻 Enjoy the concert 🤗 https://t.co/tVMc3SIJOk";0;4;90;347;en;1325371314018811906;1724769275460940053;MadnaeJin1204;https://twitter.com/MadnaeJin1204/status/1724769275460940053
Wed Nov 15 12:37:16 +0000 2023;1724768529847648349;"Conservative Muslims in Indonesia protest Coldplay concert over the band's LGBTQ+ support https://t.co/0B1zsifkCH https://t.co/QhxRjt2Hav";0;0;1;0;en;66237835;1724768529847648349;AOL;https://twitter.com/AOL/status/1724768529847648349
Wed Nov 15 12:34:42 +0000 2023;1724767884612706717;"Conservative Muslims in Indonesia protest Coldplay concert over the band's LGBTQ+ support https://t.co/tSOmuTa22y";0;1;0;0;en;26505985;1724767884612706717;KWKTFOX44;https://twitter.com/KWKTFOX44/status/1724767884612706717
Wed Nov 15 12:27:58 +0000 2023;1724766189346566642;"Hua quite sad cuz I cant attend coldplay concert, and jungkook golden concert too (although I probably won't even win) ㅠㅠ but it's ok cuz my friends will! LOL";0;0;0;3;en;3064616820;1724766189346566642;aimifariha;https://twitter.com/aimifariha/status/1724766189346566642
Wed Nov 15 12:26:14 +0000 2023;1724765753826844857;"slightly fomo coldplay tapi january ada nct unity huhuhu gapapa lets save up for concerts that i truly like and will enjoy to the fullest 💪🏼💪🏼💪🏼";0;1;0;0;en;1714284757834727424;1724765753826844857;0808dottxt;https://twitter.com/0808dottxt/status/1724765753826844857
Wed Nov 15 12:24:33 +0000 2023;1724765329371336790;"feels quite strange that some people, thousands of miles away, are about to know the life-affirming experience, the pure happiness and sheer joy that a coldplay concert brings. meanwhile for me it's just wednesday";0;0;0;7;en;1682156392113684481;1724765329371336790;coldplayfrog;https://twitter.com/coldplayfrog/status/1724765329371336790
Wed Nov 15 12:24:31 +0000 2023;1724765318328016918;"@coldplay Drive In Concert  #ColdplayInJakarta https://t.co/pc8i7JsJfA";1;0;0;1;en;193686011;1724765318328016918;yuliantoriyanmo;https://twitter.com/yuliantoriyanmo/status/1724765318328016918
Wed Nov 15 12:23:07 +0000 2023;1724764968749506982;"Makes me can’t wait to go Coldplay concert next year!!";0;0;0;1;en;988211640;1724764968749506982;AlyyHere;https://twitter.com/AlyyHere/status/1724764968749506982
